id,type,source,claim,status,notes
Q24-R1,author-research-archive,Pasted text 2026-03-29,"Hybrid VIPER + Q24 COMBO_RM guards research run through 2026-03-26 reported Sharpe 2.532 and max drawdown -16.55%",recovered,"Local research lineage only; no one-to-one public Q24 strategy-ID mapping established"
Q24-R2,author-research-archive,Pasted text 2026-06-01,"VIPER / STRATUM / HELIOS and later Q24 research produced additional local Sharpe-above-1 candidates and blockchain-data experiments",recovered,"Do not convert these local statistics into contest results"
Q25-01,primary-web,https://quantiacs.com/contest,"Q25 submission period 2026-04-01 through 2026-09-30; live period 2026-10-01 through 2027-01-31; long-only Crypto Top-10; up to 50 running submissions and 15 contest entries; IS Sharpe strictly >1 since 2016",verified,"Current contest rules; no live result exists as of 2026-09-05"
Q25-02,primary-web,https://quantiacs.com/leaderboard/25,"Submission-period leaderboard displays Svyable Q25 entries and preview/OOS figures before the live contest begins",verified,"Do not describe preview values as contest Sharpe or final rank"
Q25-R1,author-research-archive,q25_roster15_20260828_report.md,"Late-August 15-name review identified strongest historical core and explicitly treated lower slots as conditional reserves rather than 15 proven independent alphas",recovered,"Data through 2026-08-20; no account changes made"
Q25-R2,author-research-archive,q25_roster_readiness_v4.json,"As of 2026-09-04 active research slate is V10; V11_balanced; C165 with V12 and CoCrash126 as specialized alternates; no official approval/promotion/submission/account action",recovered,"Research priority only; current platform clearance not established"
Q25-R3,author-research-archive,q25_roster_readiness_v4.json,"Core3 selection Sharpe 2.461 and diagnostic Sharpe 1.111 versus full15 selection 2.217 and diagnostic 0.581",recovered,"Descriptive matched local evidence; not official Quantiacs statistics"
Q25-R4,author-research-archive,q25_roster_readiness_v4.json,"Rounds 34-37: 800 preregistered hypotheses; 104 finalists; 7 performance passes; 0 complete qualifications",recovered,"Frozen pre-2025 selection; post-2024 data veto-only"
Q25-R5,author-research-archive,q25_residual_alpha_round38_41_report.md,"Rounds 38-41: 800 preregistered hypotheses; 104 finalists; 9 performance passes; 3 originality passes; 0 complete qualifications; roster unchanged",recovered,"Latest research decision as of 2026-09-04"
Q25-R6,author-research-archive,q25_residual_alpha_round38_41_report.md,"Round 41 session-decomposition near-misses passed pre-2025 gates but failed post-2024 diagnostic veto; selecting the recent-regime winner after reveal would be holdout mining",recovered,"Important epistemic example for epilogue"
HIST-01,chat-history,2025-01-01 prior conversation,"9-day SMA versus 9-day EMA S&P500 experiment; negative-Sharpe backtest and associated statistics",recovered,"Research lineage only"
HIST-02,chat-history,2025-01-09 prior conversation,"50-day MA > 200-day MA trend idea with a 14-day price-rise exit concept",recovered,"Research lineage only"
HIST-03,chat-history,2025-07 prior conversations,"RSI; ROC; ATR; volatility scaling; liquidity filtering; 10% per-asset caps; long-short factor ideas",recovered,"Research lineage only; some conversations were labeled Q22"
HIST-04,chat-history,2025-12-13 prior conversation,"Q23 described as roughly 20-factor IC-based strategy with concentrated top-stock basket",recovered,"Needs primary notebook before being attributed to final allocated submission"
HIST-05,chat-history,2026-01-22 prior conversation,"Author said he was so close to winning Q23 and believed he had highest gross return at 20.6%",recovered,"Author claim; distinguish from official ranking metric"
SOC-01,public-search,LinkedIn search result indexed via public web,"Sven Hardy Benson post said fourth place after disqualifications and $100K allocation",corroborating,"Search snippet labels contest Nasdaq 100, conflicting with official Quantiacs S&P500 designation; do not repeat that universe label"
