id,year,author_or_institution,title,source_type,book_use,url
TIW011,2026,Cox Automotive,Q1 2026 EV Sales Report Commentary,Industry analysis,US EV sales slowdown after tax credit expiration; Chapter 10,https://www.coxautoinc.com/insights/q1-2026-ev-sales-report-commentary/
TIW012,2025,National Inventors Hall of Fame,NIHF Inductee Malcom McLean Made Shipping Container History,Biographical record,"Containerization history, Ideal X 1956; Chapters 1 11",https://www.invent.org/inductees/malcom-mclean
TIW013,2024,European Commission,EU common charger rules: Power all your devices with a single charger,Government policy notice,EU common charger directive effective dates and scope; Chapters 2 5,https://commission.europa.eu/news-and-media/news/eu-common-charger-rules-power-all-your-devices-single-charger-2024-12-28_en
TIW014,2009,The Register,EU commends micro USB,News report,2009 voluntary charger MoU and its failure; Chapter 5,https://www.theregister.com/2009/06/29/eu_commends_micro_usb/
TIW015,2025,U.S. Government Accountability Office,Information Technology: Agencies Need to Plan for Modernizing Critical Decades-Old Legacy Systems,Government audit report,GAO-25-107795 federal legacy IT systems findings; Chapter 7,https://www.gao.gov/products/gao-25-107795
TIW016,2026,Turbomachinery Magazine,GE Vernova's Gas Turbine Backlog Hits 116 GW as Power Orders More Than Double,Trade press report,Gas turbine order backlog for data center power; Chapter 1,https://www.turbomachinerymag.com/view/ge-vernova-gas-turbine-backlog-hits-116-gw-as-power-orders-more-than-double
TIW017,2026,pv magazine USA,U.S. transformer market faces severe supply constraints as lead times extend to four years,Trade press report,Power transformer lead times and price increases; Chapter 1,https://pv-magazine-usa.com/2026/05/11/u-s-transformer-market-faces-severe-supply-constraints-as-lead-times-extend-to-four-years/
TIW018,2025,Data Center Knowledge,Trade-offs Between Brownfield and Greenfield Sites,Trade press analysis,Brownfield vs greenfield data center construction timelines and cost; Chapter 1,https://www.datacenterknowledge.com/data-center-construction/the-trade-offs-between-greenfield-and-brownfield-sites-for-data-centers
TIW019,2010,EH.net,"The Economics of QWERTY: History, Theory, and Policy — Essays by Stan J. Liebowitz and Stephen E. Margolis",Academic book review,QWERTY lock-in revisionism; Chapter 2,https://eh.net/book_reviews/the-economics-of-qwerty-history-theory-and-policy-essays-by-stan-j-liebowitz-and-stephen-e-margolis/
TIW020,1985,Paul A. David,Clio and the Economics of QWERTY,Academic journal article,Original QWERTY path-dependence argument; Chapter 2,https://econ.ucsb.edu/~tedb/Courses/Ec100C/DavidQwerty.pdf
TIW021,2024,InsideEVs,Stellantis To Finally Adopt Tesla's NACS Plug Starting In 2025,News report,NACS/SAE J3400 industry-wide adoption timeline; Chapters 5 11,https://insideevs.com/news/708379/stellantis-adopt-sae-j3400-nacs-charging-standard/
TIW022,2025,Joint Office of Energy and Transportation,SAE J3400 Charging Connector,Government resource page,SAE J3400 standardization and federal charging policy; Chapter 5,https://driveelectric.gov/charging-connector
TIW023,2010,Resources for the Future,Evaluating 'Cash-for-Clunkers': Program Effects on Auto Sales and the Environment,Working paper,Cash for Clunkers cost-effectiveness and sales impact; Chapters 4 18,https://media.rff.org/documents/RFF-DP-10-39-REV.pdf
TIW024,2025,Brookings Institution,What would it cost to replace all the nation's lead water pipes?,Policy analysis,Lead service line replacement cost estimates; Chapter 6,https://www.brookings.edu/articles/what-would-it-cost-to-replace-all-the-nations-lead-water-pipes/
TIW025,2024,WaterVerge,Lead Pipe Replacement in America: Where $15 Billion in Funding Stands and What's Actually Changing,Policy analysis,Lead and Copper Rule Improvements deadline and funding gap; Chapter 6,https://www.waterverge.com/news/lead-copper-rule-revisions-2024/
TIW026,2025,American Society of Civil Engineers,New Bridge Data Supports C+ Report Card Grade,Infrastructure report,"Bridge condition, age, and design-life data; Chapter 4",https://infrastructurereportcard.org/new-bridge-data-supports-c-report-card-grade/
TIW027,2025,American Society of Civil Engineers,Drinking Water Infrastructure,Infrastructure report,"Water main break rate, pipe age, national funding needs; Chapter 6",https://infrastructurereportcard.org/cat-item/drinking-water-infrastructure/
TIW028,2025,IPXO,"IPv6 Adoption in 2025: Global Readiness, Security & Policy Shifts",Industry analysis,IPv6 global adoption statistics; Chapters 3 10,https://www.ipxo.com/blog/ipv6-adoption-2025-readiness-security-policy-shifts/
TIW029,2026,Internet Society Pulse,"18 Years Later, IPv6 Reaches Majority",Research analysis,IPv6 crossing 50 percent global traffic share; Chapter 10,https://pulse.internetsociety.org/en/blog/2026/04/18-years-later-ipv6-reaches-majority/
TIW030,2025,RMI,Millions of US Homes Are Installing Heat Pumps. Will It Be Enough?,Policy research report,US heat pump adoption rate and retrofit trends; Chapter 17,https://rmi.org/resources/millions-of-us-homes-are-installing-heat-pumps-will-it-be-enough/
TIW031,2009,National Telecommunications and Information Administration,Commerce's NTIA Releases Statement Regarding the TV Converter Box Coupons,Government press release,2009 digital television transition coupon program; Chapter 4,https://www.ntia.gov/press-release/2009/commerces-ntia-releases-statement-regarding-tv-converter-box-coupons
TIW032,2026,Fortune,America's silent army of skilled trades workers is vanishing—and it's a $1 trillion crisis,News feature,Skilled trades workforce shortage and aging electrician population; Chapter 9,https://fortune.com/2026/04/21/america-silent-army-jll-report-skilled-trades-job-shortage-cost/
TIW033,2026,Trade Colleges,"Skilled Trades Shortage 2026: 349K Jobs, BLS Data",Industry analysis,Construction and trades labor shortage statistics; Chapter 9,https://tradecolleges.org/blog/skilled-trades-outlook/skilled-trades-shortage-opportunity
TIW034,2026,Science,The climate benefits of retiring a fully operational internal combustion engine vehicle,Academic journal article,Embodied carbon vs tailpipe emissions in early EV replacement; Chapter 18,https://www.science.org/doi/full/10.1126/science.adv5441?af=R
TIW035,2024,IOP Science,Vehicle scrappage policies for transportation decarbonization,Academic journal article,Vehicle scrappage policy effectiveness review; Chapter 18,https://iopscience.iop.org/article/10.1088/2753-3751/ad63aa
TIW036,2024,Institute for Energy Research,New York State to Ban Gas Stoves in New Buildings,Policy analysis,NY All-Electric Building Act mandate; Chapter 17,https://www.instituteforenergyresearch.org/regulation/new-york-state-to-ban-gas-stoves-in-new-buildings/
TIW037,2018,Computer Weekly,TSB hit with huge fine after IT migration disaster,News report,TSB Bank migration fine and total cost; Chapter 12,https://www.computerweekly.com/news/252528519/TSB-hit-with-huge-fine-after-IT-migration-disaster
TIW038,2018,Computer Weekly,TSB neglected to assess capabilities of main IT provider in its failed system migration,News report,"TSB migration root cause, SABIS due diligence failure; Chapter 12",https://www.computerweekly.com/news/252474751/TSB-neglected-to-assess-capabilities-of-main-IT-provider-in-its-failed-system-migration
TIW039,2013,IEEE Spectrum,NPfIT Dismantled: UK Government Announces End of its $12.7 Billion National Electronic Health Record Program,News report,NHS National Programme for IT dismantlement and cost; Chapter 12,https://spectrum.ieee.org/riskfactor/computing/it/npfit-dismantled-uk-government-announces-end-of-its-127-billion-national-electronic-health-record-program
TIW040,2025,Panorama Consulting,Reasons Behind The NHS IT System & Project Failure Case Study,Consulting case study,NPfIT failure analysis and clinician workflow mismatch; Chapter 12,https://www.panorama-consulting.com/nhs-it-system-failure/
TIW041,2008,Finextra,CBA selects SAP for core banking overhaul,Trade press report,Commonwealth Bank of Australia core banking migration launch and budget; Chapters 7 12,https://www.finextra.com/newsarticle/18397/cba-selects-sap-for-core-banking-overhaul
TIW042,2014,iTnews,CBA goes real-time as part of core banking upgrade,Trade press report,CBA real-time core banking migration progress; Chapters 7 12,https://www.itnews.com.au/news/cba-goes-real-time-as-part-of-core-banking-upgrade-256341
TIW043,2025,Air & Space Forces Magazine,It's Official: The Re-Engined B-52 Will be the B-52J,Trade press report,"B-52 re-engining program, F130 engine, service life to 2050s; Chapter 13",https://www.airandspaceforces.com/re-engined-b-52-b-52j/
TIW044,2024,Breaking Defense,"Rolls-Royce says future B-52 engine, the F130, passed critical design review",News report,B-52J F130 engine critical design review and budget; Chapter 13,https://breakingdefense.com/2024/12/rolls-royce-says-future-b-52-engine-the-f130-passed-critical-design-review/
TIW045,2025,National Association of Broadcasters,Keep AM Radio in Cars to Ensure Public Safety,Advocacy policy page,AM radio emergency alert system rationale; Chapter 13,https://www.nab.org/advocacy/issue.asp?id=6719
TIW046,2023,Office of Rep. Josh Gottheimer,"Following Gottheimer's Call for Automakers to Keep AM Radio, Ford Announces AM Will Remain in All 2024 Vehicles",Press release,Ford reversal on AM radio removal; Chapter 13,https://gottheimer.house.gov/posts/release-following-gottheimers-call-for-automakers-to-keep-am-radio-ford-announces-am-will-remain-in-all-2024-vehicles
TIW047,2025,Office of Sen. Angus King,"Collins, King Join Bipartisan Legislation to Ensure AM Radio in Every Vehicle",Press release,AM Radio for Every Vehicle Act Senate progress; Chapter 13,https://www.king.senate.gov/newsroom/press-releases/collins-king-join-bipartisan-legislation-to-ensure-am-radio-in-every-vehicle
TIW048,2025,Carbon Tracker Initiative,Stranded Assets,Research organization glossary,Definition and origin of stranded-asset concept; Chapter 13,https://carbontracker.org/terms/stranded-assets/
TIW049,2013,Carbon Tracker Initiative,Unburnable Carbon: Wasted Capital and Stranded Assets,Research report,Unburnable carbon and stranded fossil fuel reserve estimates; Chapter 13,https://carbontracker.org/reports/unburnable-carbon-wasted-capital-and-stranded-assets/
TIW050,2026,Fortune,America's data centers are thirsty. Rural towns are paying the price,News feature,Georgia and Arizona data center water conflicts; Chapter 16,https://fortune.com/2026/05/13/data-center-georgia-arizona-water-wars/
TIW051,2025,E&E News (POLITICO),A data center drained 30M gallons of water unnoticed — until residents complained about low water pressure,News report,Fayette County Georgia QTS data center water use dispute; Chapter 16,https://www.eenews.net/articles/georgia-residents-seethe-over-30m-gallons-of-missing-water/
TIW052,2026,The Cool Down,"Georgia data center surge faces pushback as towns move to curb water, power, and noise strain",News report,Georgia local data center moratoriums and bans; Chapter 16,https://www.thecooldown.com/green-business/georgia-data-center-boom-backlash-water-power-noise/
TIW053,2026,Atlanta News First,Records raise questions about Georgia's largest data center and its water use,News investigation,QTS Fayette County water use figures; Chapter 16,https://www.atlantanewsfirst.com/2026/07/13/records-raise-questions-about-georgias-largest-data-center-its-water-use/
TIW054,2023,The Conversation,"After a pandemic pause, Detroit restarts water shut-offs – part of a nationwide trend as costs rise",News analysis,"Detroit water shutoff history, scale, and affordability data; Chapter 15",https://theconversation.com/after-a-pandemic-pause-detroit-restarts-water-shut-offs-part-of-a-nationwide-trend-as-costs-rise-212597
TIW055,2025,ACLU of Michigan,Detroit Water,Advocacy organization report,Detroit water shutoff advocacy and human rights framing; Chapter 15,https://www.aclumich.org/detroit-water/
TIW056,2025,Homebuilding & Renovating,Gas boiler ban scrapped as government says they 'will not force anyone to rip out a working boiler',News report,UK gas boiler mandate reversal and Future Homes Standard; Chapter 17,https://www.homebuilding.co.uk/news/gas-boiler-ban
TIW057,2025,Sears Home Services,HEEHRA Rebate Program: How It Works and When to Expect Rebates,Consumer guidance article,Inflation Reduction Act HEEHRA heat pump rebate structure; Chapter 17,https://www.searshomeservices.com/blog/what-is-heehra
TIW058,2010,National Bureau of Economic Research,Mobile Money: The Economics of M-PESA,Working paper,"M-Pesa design, adoption, and financial inclusion effects; Chapter 19",https://www.nber.org/system/files/working_papers/w16721/w16721.pdf
TIW059,2025,CNN,"Japan to restart the world's biggest nuclear power plant, 15 years after country's worst nuclear disaster",News report,"Kashiwazaki-Kariwa restart, 2011 shutdown reversal; Chapter 18",https://www.cnn.com/2025/12/22/asia/japan-nuclear-reactor-restart-kashiwazaki-kariwa-intl-hnk
TIW060,2025,Nippon.com,Japan's Nuclear Power Plants in 2025,Data journalism report,Count of restarted Japanese reactors post-Fukushima; Chapter 18,https://www.nippon.com/en/japan-data/h02619/
TIW061,2025,Clean Energy Wire,Q&A: Why is Germany phasing out nuclear power - and why now?,Explainer report,Germany Energiewende nuclear phase-out timeline and rationale; Chapter 18,https://www.cleanenergywire.org/news/qa-why-germany-phasing-out-nuclear-power-and-why-now
TIW062,2025,PLOS One,Nuclear phase-out: Can we catch up on CO2 emissions?,Academic journal article,Germany nuclear phase-out emissions impact and renewable offset; Chapter 18,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0336218
TIW063,2008,The Washington Post,Most Analog Cellular to Fade Away Next Week,News report,"AMPS analog cellular shutdown, FCC deadline; Chapter 14",https://www.washingtonpost.com/wp-dyn/content/article/2008/02/15/AR2008021500036.html
TIW064,2008,Cars.com,"Analog OnStar Ends Jan. 1, 2008",News report,OnStar analog-to-digital cellular transition; Chapter 14,https://www.cars.com/articles/analog-onstar-ends-jan-1-2008-1420663297944/
TIW065,2015,McGuireWoods,Retail Industry EMV Compliance Deadline Arrives Today,Legal client alert,EMV liability shift date and merchant compliance rate; Chapter 14,https://www.mcguirewoods.com/client-resources/alerts/2015/10/retail-industry-emv-compliance-deadline-arrives-today/
TIW066,2016,Congressional Research Service,"The EMV Chip Card Transition: Background, Status, and Issues for Congress",Government research report,EMV fraud cost data and adoption timeline; Chapter 14,https://www.congress.gov/crs_external_products/R/PDF/R43925/R43925.15.pdf
