chapter,source_id,author_or_org,title,publisher,date,url,source_type,notes
4,GOVUKOPEN,UK Government Digital Service,"Use and contribute to open standards, common components and patterns",GOV.UK Service Manual,current,https://www.gov.uk/service-manual/service-standard/point-13-use-common-standards-components-patterns,official service standard,"Reuse, interoperability, open standards, and supplier-lock-in rationale."
5,GOVUKOPEN,UK Government Digital Service,"Use and contribute to open standards, common components and patterns",GOV.UK Service Manual,current,https://www.gov.uk/service-manual/service-standard/point-13-use-common-standards-components-patterns,official service standard,"Reuse, interoperability, open standards, and supplier-lock-in rationale."
5,WORLDBANKDPI2026,World Bank Group,Global Digital Public Infrastructure Program: From Foundations to Scale,World Bank,2026-05-06,https://www.worldbank.org/en/results/2026/05/06/global-digital-public-infrastructure-program,official program results page,Reports support to 80+ countries and major remaining access gaps; institutional self-report.
6,NISTAIRMF,National Institute of Standards and Technology,Artificial Intelligence Risk Management Framework (AI RMF 1.0),NIST,2023-01-26,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,official framework,"Voluntary, rights-preserving, use-case-agnostic risk-management framework."
6,NISTGOVERN,National Institute of Standards and Technology,AI RMF Playbook — Govern,NIST AI Resource Center,current,https://airc.nist.gov/airmf-resources/playbook/govern/,official implementation guidance,"Human roles, oversight responsibilities, risk tracking, training, transparency."
7,OSTROMLECTURE,Elinor Ostrom,Beyond Markets and States: Polycentric Governance of Complex Economic Systems,NobelPrize.org,2009-12-08,https://www.nobelprize.org/prizes/economic-sciences/2009/ostrom/lecture/,prize lecture,"Design principles and polycentric governance; principles are empirical regularities, not a universal recipe."
7,GOVUKTOOLS,UK Government Digital Service,Choose the right tools and technology,GOV.UK Service Manual,2026 update,https://www.gov.uk/service-manual/service-standard/point-11-choose-the-right-tools-and-technology,official service standard,"Total cost of ownership, future flexibility, legacy systems, inclusion, and reliability."
8,WIKIMEDIA2025,Wikimedia Foundation,2024–2025 Annual Report,Wikimedia Foundation,2026,https://wikimediafoundation.org/annualreports/2024-2025-annual-report/,official annual report,"Reports 66M+ articles, 300+ languages, and 340+ edits per minute; self-reported operational statistics."
8,GOVUKOPEN,UK Government Digital Service,"Use and contribute to open standards, common components and patterns",GOV.UK Service Manual,current,https://www.gov.uk/service-manual/service-standard/point-13-use-common-standards-components-patterns,official service standard,"Reuse, interoperability, open standards, and supplier-lock-in rationale."
9,ALPHAFOLDDB,Google DeepMind; EMBL-EBI,AlphaFold Protein Structure Database,AlphaFold DB,current,https://alphafold.ebi.ac.uk/,official database,Open access to 200M+ predicted protein structures; predictions are not equivalent to all experimental evidence.
10,WORLDBANKDPI2026,World Bank Group,Global Digital Public Infrastructure Program: From Foundations to Scale,World Bank,2026-05-06,https://www.worldbank.org/en/results/2026/05/06/global-digital-public-infrastructure-program,official program results page,Reports support to 80+ countries and major remaining access gaps; institutional self-report.
10,UNDPDPI,United Nations Development Programme,Digital Public Infrastructure,UNDP,current,https://www.undp.org/digital/digital-public-infrastructure,official program overview,"Defines DPI around foundational systems such as identity, payments, and data exchange, emphasizing safe/fair/interoperable design."
10,UNDPSAFEGUARDS2025,United Nations Development Programme,Building a fairer digital future starts with trusted data,UNDP,2025,https://www.undp.org/digital/blog/building-fairer-digital-future-starts-trusted-data-governance-assessment-framework-digital-public-infrastructure,official governance guidance,"Discusses inclusion, privacy, consent, accountability, and discrimination risks in data exchange."
10,GOVUKWHOLE,UK Government Digital Service,Solve a whole problem for users,GOV.UK Service Manual,2026 update,https://www.gov.uk/service-manual/service-standard/point-2-solve-a-whole-problem,official service standard,2026 update explicitly warns against designing services around AI technologies rather than user problems.
10,GOVUKACCESS,UK Government Digital Service,Make sure everyone can use the service,GOV.UK Service Manual,current,https://www.gov.uk/service-manual/service-standard/point-5-make-sure-everyone-can-use-the-service,official service standard,Requires attention to users lacking digital skills or internet access and assisted digital support.
11,HOTHaiti,Humanitarian OpenStreetMap Team,Disaster Activation: Haiti Post-earthquake response and recovery 2010–11,HOT,2010-2011 record,https://website.hotosm.org/en/projects/disaster-activation-haiti-post-earthquake-response-and-recovery-2010-11/,first-party project history,"Records rapid mapping, post-quake imagery, 600+ first-month contributors, and responder use."
12,HERDMOYNIHAN2025,Pamela Herd; Donald Moynihan,Administrative Burdens in the Social Safety Net,Journal of Economic Perspectives,2025,https://www.aeaweb.org/articles?id=10.1257/jep.20231394,peer-reviewed journal article,"Learning, compliance, and psychological costs; burdens can reduce access among eligible people."
12,GOVUKWHOLE,UK Government Digital Service,Solve a whole problem for users,GOV.UK Service Manual,2026 update,https://www.gov.uk/service-manual/service-standard/point-2-solve-a-whole-problem,official service standard,2026 update explicitly warns against designing services around AI technologies rather than user problems.
12,GOVUKTOOLS,UK Government Digital Service,Choose the right tools and technology,GOV.UK Service Manual,2026 update,https://www.gov.uk/service-manual/service-standard/point-11-choose-the-right-tools-and-technology,official service standard,"Total cost of ownership, future flexibility, legacy systems, inclusion, and reliability."
13,FEMAHSEEP,Federal Emergency Management Agency,Homeland Security Exercise and Evaluation Program resources,FEMA Preparedness Toolkit,current,https://preptoolkit.fema.gov/web/hseep-resources,official preparedness guidance,"Exercises as structured planning, capability validation, evaluation, and improvement."
14,WORLDBANKDPI2026,World Bank Group,Global Digital Public Infrastructure Program: From Foundations to Scale,World Bank,2026-05-06,https://www.worldbank.org/en/results/2026/05/06/global-digital-public-infrastructure-program,official program results page,Reports support to 80+ countries and major remaining access gaps; institutional self-report.
14,GOVUKOPEN,UK Government Digital Service,"Use and contribute to open standards, common components and patterns",GOV.UK Service Manual,current,https://www.gov.uk/service-manual/service-standard/point-13-use-common-standards-components-patterns,official service standard,"Reuse, interoperability, open standards, and supplier-lock-in rationale."
15,WIKIMEDIA2025,Wikimedia Foundation,2024–2025 Annual Report,Wikimedia Foundation,2026,https://wikimediafoundation.org/annualreports/2024-2025-annual-report/,official annual report,"Reports 66M+ articles, 300+ languages, and 340+ edits per minute; self-reported operational statistics."
15,GOVUKOPEN,UK Government Digital Service,"Use and contribute to open standards, common components and patterns",GOV.UK Service Manual,current,https://www.gov.uk/service-manual/service-standard/point-13-use-common-standards-components-patterns,official service standard,"Reuse, interoperability, open standards, and supplier-lock-in rationale."
16,IEA2025,International Energy Agency,Energy and AI,IEA,2025-04-10,https://www.iea.org/reports/energy-and-ai,official analytical report,Physical-energy baseline and projections; scenarios carry uncertainty.
16,IEADEMAND,International Energy Agency,Energy demand from AI,IEA,2025,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,official analytical report,Base-case data-centre electricity projection and concentration effects.
16,GOVUKTOOLS,UK Government Digital Service,Choose the right tools and technology,GOV.UK Service Manual,2026 update,https://www.gov.uk/service-manual/service-standard/point-11-choose-the-right-tools-and-technology,official service standard,"Total cost of ownership, future flexibility, legacy systems, inclusion, and reliability."
17,GOVUKOPEN,UK Government Digital Service,"Use and contribute to open standards, common components and patterns",GOV.UK Service Manual,current,https://www.gov.uk/service-manual/service-standard/point-13-use-common-standards-components-patterns,official service standard,"Reuse, interoperability, open standards, and supplier-lock-in rationale."
17,UNDPDPI,United Nations Development Programme,Digital Public Infrastructure,UNDP,current,https://www.undp.org/digital/digital-public-infrastructure,official program overview,"Defines DPI around foundational systems such as identity, payments, and data exchange, emphasizing safe/fair/interoperable design."
18,NISTAIRMF,National Institute of Standards and Technology,Artificial Intelligence Risk Management Framework (AI RMF 1.0),NIST,2023-01-26,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,official framework,"Voluntary, rights-preserving, use-case-agnostic risk-management framework."
18,NISTGOVERN,National Institute of Standards and Technology,AI RMF Playbook — Govern,NIST AI Resource Center,current,https://airc.nist.gov/airmf-resources/playbook/govern/,official implementation guidance,"Human roles, oversight responsibilities, risk tracking, training, transparency."
18,UNDPSAFEGUARDS2025,United Nations Development Programme,Building a fairer digital future starts with trusted data,UNDP,2025,https://www.undp.org/digital/blog/building-fairer-digital-future-starts-trusted-data-governance-assessment-framework-digital-public-infrastructure,official governance guidance,"Discusses inclusion, privacy, consent, accountability, and discrimination risks in data exchange."
19,HERDMOYNIHAN2025,Pamela Herd; Donald Moynihan,Administrative Burdens in the Social Safety Net,Journal of Economic Perspectives,2025,https://www.aeaweb.org/articles?id=10.1257/jep.20231394,peer-reviewed journal article,"Learning, compliance, and psychological costs; burdens can reduce access among eligible people."
19,NISTGOVERN,National Institute of Standards and Technology,AI RMF Playbook — Govern,NIST AI Resource Center,current,https://airc.nist.gov/airmf-resources/playbook/govern/,official implementation guidance,"Human roles, oversight responsibilities, risk tracking, training, transparency."
20,OSTROMLECTURE,Elinor Ostrom,Beyond Markets and States: Polycentric Governance of Complex Economic Systems,NobelPrize.org,2009-12-08,https://www.nobelprize.org/prizes/economic-sciences/2009/ostrom/lecture/,prize lecture,"Design principles and polycentric governance; principles are empirical regularities, not a universal recipe."
20,WIKIMEDIA2025,Wikimedia Foundation,2024–2025 Annual Report,Wikimedia Foundation,2026,https://wikimediafoundation.org/annualreports/2024-2025-annual-report/,official annual report,"Reports 66M+ articles, 300+ languages, and 340+ edits per minute; self-reported operational statistics."
20,WORLDBANKDPI2026,World Bank Group,Global Digital Public Infrastructure Program: From Foundations to Scale,World Bank,2026-05-06,https://www.worldbank.org/en/results/2026/05/06/global-digital-public-infrastructure-program,official program results page,Reports support to 80+ countries and major remaining access gaps; institutional self-report.
20,GOVUKOPEN,UK Government Digital Service,"Use and contribute to open standards, common components and patterns",GOV.UK Service Manual,current,https://www.gov.uk/service-manual/service-standard/point-13-use-common-standards-components-patterns,official service standard,"Reuse, interoperability, open standards, and supplier-lock-in rationale."
