id,chapters,evidence_level,source,year,url,use
S028,"8,9",structure,"Li et al., Oxygen-evolving photosystem II structures during S1–S2–S3 transitions, Nature",2024,https://www.nature.com/articles/s41586-023-06987-5,"Nanosecond-to-millisecond structural dynamics, water delivery, electron/proton movement"
S029,"8",structure,"Kern et al., Structures of the intermediates of Kok’s photosynthetic water oxidation clock, Nature",2018,https://www.nature.com/articles/s41586-018-0681-2,"Time-resolved structural intermediates of PSII water oxidation"
S030,"8",structure,"Suga et al., Light-induced structural changes and the site of O=O bond formation in PSII caught by XFEL, Nature",2017,https://www.nature.com/articles/nature21400,"Structural snapshots across oxygen evolution"
S031,"9",experiment,"Jenson and Barry, Proton-Coupled Electron Transfer in Photosystem II: Proton Inventory of a Redox Active Tyrosine, JACS",2009,https://pubs.acs.org/doi/10.1021/ja902896e,"PCET pathways at redox-active tyrosine YD"
S032,"9",review,"Hammes-Schiffer and Stuchebrukhov, Theory of coupled electron and proton transfer reactions, Chemical Reviews",2010,https://doi.org/10.1021/cr1001436,"General PCET theory; tunneling and vibronic coupling"
S033,"9",review,"Weinberg et al., Proton-Coupled Electron Transfer, Chemical Reviews",2012,https://doi.org/10.1021/cr200177j,"General PCET framework and mechanism distinctions"
S034,"9",review,"Gray and Winkler, Long-range electron transfer, PNAS",2005,https://pmc.ncbi.nlm.nih.gov/articles/PMC1201354/,"Protein electron transfer and tunneling framework"
S035,"9",review,"Gray and Winkler, Electron tunneling through proteins, Quarterly Reviews of Biophysics",2003,https://doi.org/10.1017/S0033583503003913,"Distance dependence and protein electron tunneling"
S036,"12",review,"Chaves et al., The cryptochromes: blue light photoreceptors in plants and animals, Annual Review of Plant Biology",2011,https://doi.org/10.1146/annurev-arplant-042110-103759,"Established plant cryptochrome photobiology"
S037,"12,13",review,"Ahmad and Cashmore, HY4 gene of A. thaliana encodes a protein with characteristics of a blue-light photoreceptor, Nature",1993,https://www.nature.com/articles366162a0,"Foundational Arabidopsis cryptochrome genetics"
S038,"13,14",experiment,"Harris et al., Effect of magnetic fields on cryptochrome-dependent responses in Arabidopsis thaliana, Journal of the Royal Society Interface",2009,https://pmc.ncbi.nlm.nih.gov/articles/PMC2817153/,"Independent replication found no consistent statistically significant magnetic responses"
S039,"13",experiment,"Agliassa et al., Geomagnetic field impacts on cryptochrome and phytochrome signaling, Journal of Photochemistry and Photobiology B",2018,https://pubmed.ncbi.nlm.nih.gov/29864723/,"GMF-dependent gene-expression effects and photoreceptor signaling in Arabidopsis"
S040,"13",experiment,"Hammad et al., Cryptochrome mediated magnetic sensitivity in Arabidopsis occurs independently of light-induced electron transfer to the flavin, Photochemical & Photobiological Sciences",2020,https://pubmed.ncbi.nlm.nih.gov/32065192/,"Magnetic response during dark-state flavin reoxidation under study conditions"
S041,"13,14",review,"Maffei, Cryptochrome and quantum biology: unraveling the mysteries of plant magnetoreception, Frontiers in Plant Science",2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10583551/,"Current plant magnetoreception hypotheses and open questions"
S042,"13",review,"Hore and Mouritsen, The Radical-Pair Mechanism of Magnetoreception, Annual Review of Biophysics",2016,https://doi.org/10.1146/annurev-biophys-032116-094545,"Radical-pair mechanism physics; strongest evidence largely from animal context"
S043,"13",theory,"Ritz et al., A model for photoreceptor-based magnetoreception in birds, Biophysical Journal",2000,https://doi.org/10.1016/S0006-3495(00)76729-X,"Foundational radical-pair magnetoreception model; animal context"
S044,"13",experiment_model,"Maeda et al., Chemical compass model of avian magnetoreception, Nature",2008,https://www.nature.com/articles/nature06834,"Laboratory radical-pair magnetic-field chemistry; not plant physiology"
S045,"14",methods,"Ioannidis, Why Most Published Research Findings Are False, PLoS Medicine",2005,https://doi.org/10.1371/journal.pmed.0020124,"General replication and evidential context; not used to dismiss a field by itself"
S046,"14,19",methods,"Munafò et al., A manifesto for reproducible science, Nature Human Behaviour",2017,https://www.nature.com/articles/s41562-016-0021,"Reproducibility, transparency, preregistration, power, independent replication"
S047,"14,19",methods,"Nosek et al., Promoting an open research culture, Science",2015,https://www.science.org/doi/10.1126/science.aab2374,"Transparency and reproducible research practices"
S048,"15",review,"Scholes et al., Using coherence to enhance function in chemical and biophysical systems, Nature",2017,https://www.nature.com/articles/nature21425,"Coherence across chemical and biological systems; timescale discipline"
S049,"15",review,"Lambert et al., Quantum biology, Nature Physics",2013,https://www.nature.com/articles/nphys2474,"Broad quantum-biology review and candidate mechanisms"
S050,"15",review,"Mohseni et al., Environment-assisted quantum walks in photosynthetic energy transfer, Journal of Chemical Physics",2008,https://doi.org/10.1063/1.3002335,"Theoretical environment-assisted transport concept"
S051,"15",theory,"Plenio and Huelga, Dephasing-assisted transport: quantum networks and biomolecules, New Journal of Physics",2008,https://doi.org/10.1088/1367-2630/10/11/113019,"Noise-assisted transport theory"
S052,"16,17",review,"Ort et al., Redesigning photosynthesis to sustainably meet global food and bioenergy demand, PNAS",2015,https://pmc.ncbi.nlm.nih.gov/articles/PMC4507207/,"Photosynthetic engineering opportunities and scaling to canopy/yield"
S053,"16,17",review,"Zhu, Long and Ort, What is the maximum efficiency with which photosynthesis can convert solar energy into biomass?, Current Opinion in Biotechnology",2008,https://doi.org/10.1016/j.copbio.2008.02.004,"Theoretical photosynthetic conversion-efficiency limits and loss accounting"
S054,"16",review,"Long et al., Meeting the global food demand of the future by engineering crop photosynthesis and yield potential, Cell",2015,https://doi.org/10.1016/j.cell.2015.03.019,"Scaling photosynthetic improvements toward crop productivity"
S055,"16,17",review,"Simkin et al., Feeding the world: improving photosynthetic efficiency for sustainable crop production, Journal of Experimental Botany",2019,https://doi.org/10.1093/jxb/ery445,"Crop photosynthesis engineering and whole-plant constraints"
S056,"17",review,"Leister, Genetic engineering, synthetic biology and the light reactions of photosynthesis, Plant Physiology",2019,https://doi.org/10.1104/pp.18.01414,"Engineering light reactions and regulatory constraints"
S057,"17",review,"South et al., Synthetic glycolate metabolism pathways stimulate crop growth and productivity in the field, Science",2019,https://www.science.org/doi/10.1126/science.aat9077,"Example of engineered photosynthetic metabolism scaling to field biomass; downstream of quantum-light reactions"
S058,"18",review,"Barber, Photosynthetic energy conversion: natural and artificial, Chemical Society Reviews",2009,https://doi.org/10.1039/B802262N,"Natural photosynthesis as guide to artificial solar-fuel systems"
S059,"18",review,"Lewis and Nocera, Powering the planet: Chemical challenges in solar energy utilization, PNAS",2006,https://pmc.ncbi.nlm.nih.gov/articles/PMC1459930/,"Artificial photosynthesis and solar-fuel challenge framing"
S060,"18",review,"Nocera, The artificial leaf, Accounts of Chemical Research",2012,https://doi.org/10.1021/ar2003013,"Artificial-leaf water-splitting concept and design tradeoffs"
S061,"18",review,"Blankenship et al., Comparing photosynthetic and photovoltaic efficiencies and recognizing the potential for improvement, Science",2011,https://www.science.org/doi/10.1126/science.1200165,"Comparing biological and engineered solar conversion"
S062,"18",review,"Najafpour et al., Manganese compounds as water-oxidizing catalysts: from the natural water-oxidizing complex to nanosized manganese oxide structures, Chemical Reviews",2016,https://doi.org/10.1021/acs.chemrev.5b00340,"Bioinspired water-oxidation catalysis"
S063,"19",methods,"Huelga and Plenio, Vibrations, quanta and biology, Contemporary Physics",2013,https://doi.org/10.1080/00107514.2013.847050,"Experimental and theoretical tests for quantum effects in biomolecular systems"
S064,"19",review,"Collini, Coherently wired light-harvesting in photosynthetic marine algae at ambient temperature, Nature",2010,https://www.nature.com/articles/nature08811,"Ambient-temperature coherence report in marine algae; organism and spectroscopy boundaries"
S065,"19",review,"Duan et al., Nature does not rely on long-lived electronic quantum coherence for photosynthetic energy transfer, PNAS",2017,https://www.pnas.org/doi/10.1073/pnas.1702261114,"Counterevidence on long-lived electronic coherence and energy transfer"
S066,"3,5,15,19",review,"Mirkovic et al., Light absorption and energy transfer in the antenna complexes of photosynthetic organisms, Chemical Reviews",2017,https://doi.org/10.1021/acs.chemrev.6b00002,"Broad source on antenna photophysics, excitons, and energy transfer"
S067,"8,9",review,"Vinyard, Ananyev and Dismukes, Photosystem II: The reaction center of oxygenic photosynthesis, Annual Review of Biochemistry",2013,https://doi.org/10.1146/annurev-biochem-070511-100425,"PSII reaction-center and oxygen-evolution mechanism"
S068,"8",review,"Kern and Renger, Photosystem II: structure and mechanism of the water:plastoquinone oxidoreductase, Photosynthesis Research",2007,https://doi.org/10.1007/s11120-007-9201-1,"PSII architecture and water-oxidation mechanism"
S069,"10,16",review,"Murchie and Niyogi, Manipulation of photoprotection to improve plant photosynthesis, Plant Physiology",2011,https://doi.org/10.1104/pp.110.168831,"Photoprotection/productivity tradeoffs"
S070,"11,16",experiment,"Terashima et al., Green light drives leaf photosynthesis more efficiently than red light in strong white light: revisiting the enigmatic question of why leaves are green, Plant and Cell Physiology",2009,https://doi.org/10.1093/pcp/pcp034,"Green-light penetration and photosynthesis under strong white light"
S071,"11",review,"Sun et al., Green light and photosynthesis: an overlooked light quality in crop production, Frontiers in Plant Science",2021,https://doi.org/10.3389/fpls.2021.619987,"Green-light physiology and canopy penetration review"
S072,"12",review,"Yu et al., Arabidopsis cryptochrome 2 completes its posttranslational life cycle in the nucleus, The Plant Cell",2009,https://doi.org/10.1105/tpc.108.064972,"Cryptochrome signaling and turnover context"
S073,"12",review,"Lin and Todo, The cryptochromes, Genome Biology",2005,https://pmc.ncbi.nlm.nih.gov/articles/PMC1175950/,"Cryptochrome family, photochemistry and biological roles"
S074,"13",experiment,"Ahmad et al., Magnetic intensity affects cryptochrome-dependent responses in Arabidopsis thaliana, Planta",2007,https://doi.org/10.1007/s00425-006-0449-0,"Original Arabidopsis magnetic-field response report later targeted for replication"
S075,"13",experiment,"Pooam et al., Magnetic sensitivity mediated by the Arabidopsis blue-light receptor cryptochrome occurs during flavin reoxidation in the dark, Planta",2019,https://link.springer.com/article/10.1007/s00425-018-3002-y,"Arabidopsis cryptochrome-linked dark-state magnetic response"
S076,"7,8",review,"Nelson and Junge, Structure and energy transfer in photosystems of oxygenic photosynthesis, Annual Review of Biochemistry",2015,https://doi.org/10.1146/annurev-biochem-092914-041942,"Structural overview of PSI/PSII energy conversion"
S077,"2,3",review,"Blankenship, Molecular Mechanisms of Photosynthesis, 3rd ed., Wiley",2021,https://www.wiley.com/en-us/Molecular+Mechanisms+of+Photosynthesis%2C+3rd+Edition-p-9781119800019,"General reference for photosynthetic molecular mechanisms; use for orientation, not sole support for disputed claims"
S078,"20",synthesis,"National Academies / peer-reviewed sources above",2026,books/the-green-edge-of-reality/research/source-ledger.csv,"No independent mechanistic claims added in synthesis chapter"
