id,chapters,type,source,url,use,caveat
S028,"14",primary-archive,"FRUS 1902, Jackson to Hay, March 12, 1902",https://history.state.gov/historicaldocuments/frus1902/d392,"German press and foreign-office reaction to Prince Henry's U.S. reception","German diplomatic perspective; supplement with U.S. press and Roosevelt papers"
S029,"15",primary-archive,"FRUS 1917, U.S. welcome for Balfour mission",https://history.state.gov/historicaldocuments/frus1917Supp02v01/d28,"Official invitation and composition of British special mission","Ceremonial invitation; substantive effects require finance, naval, shipping and trade records"
S030,"15",primary-archive,"FRUS 1917, Balfour to Secretary of State on U.S. financial aid",https://history.state.gov/historicaldocuments/frus1917Supp02v01/d434,"British dependence on and gratitude for U.S. financial support","One letter inside larger coalition apparatus; do not reduce mission to finance"
S031,"16",archive-finding-aid,"Kent State University, Queen Marie of Romania papers",https://www.library.kent.edu/special-collections-and-archives/queen-marie-romania-papers,"1926 U.S.-Canada tour, photographs, clippings and Marie's 'Impressions of America' materials","Finding aid, not narrative analysis; source base is publicity-heavy"
S032,"16",primary-photo,"Library of Congress, Queen Marie, Nicholas & Ileana arriving in New York, 1926",https://www.loc.gov/pictures/item/2014709963/,"Date and visual record of October 1926 arrival","Photographic evidence supports scene, not larger claims about media effect"
S033,"17",presidential-library,"FDR Presidential Library, The British Royal Visit",https://www.fdrlibrary.org/royal-visit,"1939 state visit, Hyde Park hot-dog menu, private strategic discussions","Library synthesis links visit to later policies; avoid implying the visit alone caused policy change"
S034,"17",primary-archive,"FDR Library, Royal Visit archival materials linked from exhibit",https://www.fdrlibrary.org/royal-visit,"King George VI memorandum, state-dinner and picnic material","Same institutional collection as S033; not independent evidence"
S035,"18",presidential-library,"FDR Presidential Library, World War II Facts: Arcadia Conference",https://www.fdrlibrary.org/iw/wwii-facts,"Arcadia dates, Roosevelt-Churchill participation, Germany-first/Atlantic priority, Combined Chiefs of Staff","Summary table; detailed strategic claims should use conference records"
S036,"18",primary-speech,"National Churchill Museum, The Sinews of Peace ('Iron Curtain') speech",https://www.nationalchurchillmuseum.org/sinews-of-peace-iron-curtain-speech.html,"Churchill's March 1946 Fulton address and postwar framing","Speech expresses Churchill's argument; it did not cause the Cold War"
S037,"19",presidential-library,"Eisenhower Presidential Library, Camp David",https://www.eisenhowerlibrary.gov/research/online-documents/camp-david,"Khrushchev's September 1959 Camp David meeting and summit setting","High-level library history; supplement with memcons and Soviet accounts"
S038,"19",official-history,"U.S. Department of State, Visits by Foreign Leaders, 1959",https://history.state.gov/departmenthistory/visits/1959,"Khrushchev visit dates and itinerary context","Visit database does not establish causal importance"
S039,"20",presidential-library,"LBJ Library, Head of State Visits",https://www.lbjlibrary.org/life-and-legacy/lbjs-administration/head-of-state-visits,"Eshkol official visit beginning June 1, 1964","Visit list; use FRUS for substance"
S040,"20",primary-archive,"FRUS 1964–1968, Johnson-Eshkol memorandum of conversation, June 1, 1964",https://history.state.gov/historicaldocuments/frus1964-68v18/d65,"Security, Dimona and bilateral discussion during official visit","U.S. record of conversation; not a full Israeli record"
S041,"21",official-history,"U.S. Department of State, Visits by Foreign Leaders of China",https://history.state.gov/departmenthistory/visits/china,"Deng visit January 29–February 5, 1979 and U.S. itinerary","Visit database; use FRUS and Chinese sources for objectives"
S042,"21",primary-archive,"FRUS 1977–1980, Editorial Note on Deng visit agreements",https://history.state.gov/historicaldocuments/frus1977-80v13/d210,"Science, culture, consular, student and technology agreements and post-Washington itinerary","U.S. documentary summary; does not capture public reception alone"
S043,"22",presidential-library,"Reagan Library, Statement on Upcoming Soviet-U.S. Summit, November 25, 1987",https://www.reaganlibrary.gov/archives/speech/statement-upcoming-soviet-united-states-summit-meeting,"INF agreement preparation, verification and Washington summit agenda","Pre-summit presidential statement; pair with treaty and Soviet records"
S044,"22",presidential-library,"Reagan Library, Washington Summit photo collection records",https://www.reaganlibrary.gov/archives/white-house-photo-collection-contact-sheets,"Dates and documented INF treaty signing/state-visit events","Collection index; use only with identified rolls/events"
S045,"23",congressional-history,"U.S. House History, Joint Meeting addresses by foreign leaders",https://history.house.gov/Institution/Foreign-Leaders/Joint-Sessions/,"Mandela addresses Congress June 26, 1990 and October 6, 1994","Institutional chronology; does not establish political effect"
S046,"23",archive,"Nelson Mandela Foundation Archive, U.S. tour materials",https://archive.nelsonmandela.org/index.php/informationobject/browse?genres=199462&showAdvanced=1&sort=endDate&sortDir=asc&subjects=200212&topLod=0,"Programs, itineraries, speeches and documents on 1990 and 1993 U.S. tours","Archive description; individual items should be cited for publication-level claims"
S047,"24",presidential-archive,"George W. Bush White House Archives, Bush and Blair remarks, April 3, 2003",https://georgewbush-whitehouse.archives.gov/infocus/iraq/news/20030131-23.html,"Public U.S.-U.K. war framing and Blair-Bush partnership","Official advocacy during war; not independent evaluation of intelligence or legality"
S048,"24",official-inquiry,"UK Government, The Report of the Iraq Inquiry",https://www.gov.uk/government/publications/the-report-of-the-iraq-inquiry,"British decision-making, diplomacy, intelligence, preparedness and postwar planning","Later inquiry with enormous record; distinguish findings from every broader interpretation of Iraq"
S049,"25",presidential-archive,"Obama White House, Fact Sheet: President Xi Jinping's State Visit",https://obamawhitehouse.archives.gov/the-press-office/2015/09/25/fact-sheet-president-xi-jinpings-state-visit-united-states/,"2015 cyber commitments, military confidence measures, bilateral agenda","Official administration account; use Chinese official sources and later assessments for balance"
S050,"25",primary-joint-statement,"Obama White House, U.S.-China Joint Presidential Statement on Climate Change",https://obamawhitehouse.archives.gov/the-press-office/2015/09/25/us-china-joint-presidential-statement-climate-change/,"Climate cooperation during Xi state visit and relationship to Paris process","Joint political statement; does not establish later implementation by itself"
S051,"26",primary-congressional,"Congressional Record, Joint Meeting Address by King Charles III, April 28, 2026",https://www.govinfo.gov/content/pkg/CREC-2026-04-28/pdf/CREC-2026-04-28.pdf,"Documented address to joint meeting of Congress during 250th anniversary year","Current-decade source; recheck before later edition"
S052,"26",primary-congressional,"U.S. Senate Resolution 697, welcoming King Charles III and Queen Camilla",https://www.govinfo.gov/app/details/BILLS-119sres697ats,"Bipartisan congressional framing of visit, anniversary and U.S.-U.K. partnership","Ceremonial resolution; not evidence that all lawmakers agree on every alliance policy"
S053,"26",executive-primary,"White House, State Visit Honoring 250 Years of Shared Heritage, April 29, 2026",https://www.whitehouse.gov/releases/2026/04/president-trump-first-lady-welcome-king-charles-iii-and-queen-camilla-for-state-visit-honoring-250-years-of-shared-heritage/,"State visit dates, White House reception, administration framing","Current administration's description; pair with congressional and British sources"
S054,"26",congressional-primary,"Senate Foreign Relations Committee, Welcome to King Charles III, April 28, 2026",https://www.foreign.senate.gov/press/rep/release/risch-shaheen-thune-schumer-colleagues-welcome-his-majesty-king-charles-to-the-capitol,"Congressional welcome and strategic-cooperation language","Press release tied to ceremonial resolution"
S055,"25",primary-press-conference,"Obama White House, Obama-Xi Joint Press Conference, September 25, 2015",https://obamawhitehouse.archives.gov/the-press-office/2015/09/25/remarks-president-obama-and-president-xi-peoples-republic-china-joint/,"Leaders' public explanations of cyber, economic and human-rights disagreements","Public statements are strategic communications, not neutral descriptions"
S056,"20",primary-archive,"FRUS 1964–1968, Komer memorandum after Eshkol visit, June 3, 1964",https://history.state.gov/historicaldocuments/frus1964-68v18/d68,"Contemporary U.S. internal assessment that the visit produced concrete gains and political benefits","Internal U.S. assessment; add Israeli archive before publication"
S057,"21",official-history,"U.S. Department of State, China policy and normalization, 1977–1980",https://history.state.gov/milestones/1977-1980/china-policy,"Formal normalization and Deng's January 1979 goodwill visit","Retired Milestones synthesis; avoid conflating normalization with the visit itself"
S058,"22",presidential-library,"Reagan Library, October 30, 1987 remarks on Gorbachev summit and INF",https://www.reaganlibrary.gov/archives/speech/remarks-and-question-and-answer-session-reporters-soviet-united-states-summit,"Expected elimination of entire intermediate-range nuclear-force class and verification issues","Pre-signing statement; treaty text controls obligations"
