source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
SD-011,5,2026-09-04,2003-05-21,MIT News,"Big achievements included room-size computers",institutional history,"States that Shannon's master's thesis laid a theoretical foundation for modern computers in MIT's own historical timeline.",https://news.mit.edu/2003/eecs-time-0521,"Later retrospective characterization; keep separate from claims about contemporary reception."
SD-012,7,2026-09-04,,Institute for Advanced Study,"Claude E. Shannon",institutional scholar record,"Confirms Shannon's membership in the IAS School of Mathematics from September 1940 through June 1941 and his 1940 MIT Ph.D.",https://www.ias.edu/scholars/claude-e-shannon,"Use the dates as an institutional anchor; do not infer day-to-day contact with famous IAS figures without separate evidence."
SD-013,7,2026-09-04,1940,Institute for Advanced Study Archives,"Shannon, Claude E. -M-, 1940-41",archival finding aid,"Identifies the Director's Office member file for Shannon and its 1940-41 date range.",https://albert.ias.edu/entities/archivalmaterial/722de860-1f0f-47e6-8453-106f4eacc945,"Primary archival trail for later close research; avoid reconstructing correspondence not yet inspected."
SD-014,7,2026-09-04,2016-10-19,Institute for Advanced Study,"Claude Shannon Celebrated at IAS with Lecture by Sergio Verdú",institutional history,"Confirms Shannon's 1940-41 IAS membership and the retrospective assessment that the 1948 paper created information theory.",https://www.ias.edu/press-releases/claude-shannon-celebrated-ias-lecture-sergio-verd%C3%BA,"Useful for institutional context, not proof of particular conversations or friendships during 1940-41."
SD-015,8,2026-09-04,2001-02-27,MIT News,"Professor Emeritus Claude Shannon, founder of digital communications, dies at 84",institutional obituary,"Confirms that Shannon worked on secrecy systems at Bell Labs during World War II.",https://news.mit.edu/2001/shannon,"Insufficient by itself for technical details of wartime cryptography; pair with Shannon's declassified secrecy paper for technical claims."
SD-016,9,2026-09-04,,,"Research gap: Shannon-Turing meetings",research hold,"Flags the need for a primary or high-quality archival source establishing dates, setting, and substance of the 1943 Shannon-Turing meetings before narrative drafting.",,"Superseded in part by SD-030."
SD-017,10,2026-09-04,1948,Claude E. Shannon,"A Mathematical Theory of Communication",primary paper,"Primary evidence for Shannon's general theory of communication, treatment of noise, statistical structure of messages, entropy, coding, and channel limits.",https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf,"Reprint notes original Bell System Technical Journal publication in vol. 27, July and October 1948."
SD-018,10,2026-09-04,2016-11-16,Institute for Advanced Study,"Claude Shannon: The Father of the Information Age",institutional lecture,"Provides a modern expert institutional account of the paper's historical impact.",https://www.ias.edu/ideas/2016/claude-shannon,"Use as retrospective context."
SD-019,10,2026-09-04,,Institute for Advanced Study,"Claude E. Shannon",institutional scholar record,"Provides institutional chronology locating the information-theory paper in 1948.",https://www.ias.edu/scholars/claude-e-shannon,"Distinguish retrospective prose from archival facts."
SD-020,4,2026-09-04,1930,Smithsonian National Museum of American History,"Differential Analyzer Parts and Documentation",museum collection record,"Documents the first MIT differential analyzer.",https://americanhistory.si.edu/collections/object-groups/mechanical-integrators/differential-analyzers,"Do not infer Shannon-specific actions."
SD-021,4,2026-09-04,1941-04,Claude E. Shannon,"Mathematical Theory of the Differential Analyzer",primary paper,"Primary evidence of Shannon's technical engagement with the differential analyzer.",https://onlinelibrary.wiley.com/doi/10.1002/sapm1941201337,"Blocks simplistic analog-versus-digital framing."
SD-022,4,2026-09-04,1930,Computer History Museum,"Vannevar Bush's differential analyzer",museum history,"Confirms analyzer configuration and reconfiguration.",https://www.computerhistory.org/revolution/analog-computers/3/143/311,"Avoid unsourced sensory reconstruction."
SD-023,6,2026-09-04,2003,Erico Guizzo / MIT,"The Essential Message: Claude Shannon and the Making of Information Theory",MIT thesis,"Records chronology of Shannon's genetics work and later habits.",https://dspace.mit.edu/bitstream/handle/1721.1/39429/54526133-MIT.pdf,"Secondary scholarly reconstruction."
SD-024,6,2026-09-04,2012,MIT EECS,"Introduction to EECS II lecture materials",institutional teaching material,"Confirms Shannon's 1940 genetics PhD.",https://web.mit.edu/6.02/www/f2012/handouts/L01_slides.pdf,"Do not inflate later influence."
SD-025,7,2026-09-04,1940,Claude E. Shannon / Institute for Advanced Study Archives,"Letter to the Office of the Dean, April 7, 1940",primary archival correspondence,"Shannon states his proposed IAS research agenda.",https://albert.ias.edu/server/api/core/bitstreams/6b2ca2f6-a7ec-4e2a-a845-46e1883a293e/content,"Check scan before quoting OCR."
SD-026,7,2026-09-04,1940,Institute for Advanced Study Archives,"Faculty and Staff Directory 1940-1941",primary institutional record,"Contemporaneous record of IAS community.",https://albert.ias.edu/entities/archivalmaterial/c958031f-60b7-43ac-9c0c-4c5ad930418f,"Not evidence of personal interaction."
SD-027,8,2026-09-04,1949-10,Claude E. Shannon,"Communication Theory of Secrecy Systems",primary paper,"Primary technical evidence for Shannon's wartime secrecy research.",https://onlinelibrary.wiley.com/doi/10.1002/j.1538-7305.1949.tb00928.x,"Not evidence for room-level scenes."
SD-028,8,2026-09-04,1949-10,Nokia Bell Labs,"Communication Theory of Secrecy Systems",Bell Labs publication archive,"Institutional provenance for secrecy paper.",https://www.nokia.com/bell-labs/publications-and-media/publications/communication-theory-of-secrecy-systems/,"Paper controls technical interpretation."
SD-029,9,2026-09-04,,,"Research boundary: Turing encounter remains partly unverified",research hold,"Popular precise formulations remain partly unsupported.",,"Use SD-030 as controlling source."
SD-030,9,2026-09-04,1982-07-28,Claude E. Shannon / Robert Price / IEEE History Center,"Oral History: Claude E. Shannon",primary oral history,"Shannon recalls lunches with Turing and their subjects while denying exchange of cryptographic information.",https://ethw.org/Oral-History:Claude_E._Shannon,"Paraphrase because IEEE reserves literary rights."
SD-031,11,2026-09-04,1948,Claude E. Shannon,"A Mathematical Theory of Communication",primary paper,"Primary evidence for entropy, redundancy and coding bounds.",https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf,"Controlling source."
SD-032,11,2026-09-04,,IEEE Technology Navigator,"Information entropy",professional technical reference,"Cross-checks standard interpretation of Shannon entropy.",https://technav.ieee.org/topic/information-entropy/,"Secondary reference."
SD-033,12,2026-09-04,2007-05-30,MIT News,"Shannon collection shows wit and whimsy",institutional history,"Documents Theseus and its relay-controlled maze.",https://news.mit.edu/2007/shannon-0530,"Avoid invented demonstrations."
SD-034,12,2026-09-04,,Nokia Bell Labs,"Information Theory Turns 75",institutional history,"Bell Labs identifies Theseus as an early adaptive machine.",https://www.nokia.com/bell-labs/about/history/innovation-stories/information-theory-turns-75/,"Retrospective framing."
SD-035,13,2026-09-04,1950-03,Claude E. Shannon,"Programming a Computer for Playing Chess",primary paper,"Controlling evidence for Shannon's chess-program proposal, search limits, evaluation, Type A/Type B strategies, and his argument that chess could serve as a wedge into broader symbolic and judgment problems.",https://archive.computerhistory.org/projects/chess/related_materials/text/2-0%20and%202-1.Programming_a_computer_for_playing_chess.shannon/2-0%20and%202-1.Programming_a_computer_for_playing_chess.shannon.062303002.pdf,"Published in Philosophical Magazine 41; received November 8, 1949 after presentation at the National IRE Convention March 9, 1949."
SD-036,13,2026-09-04,,Computer History Museum,"Opening Moves: Origins of Computer Chess",museum history,"Places Shannon's paper in early computer-chess history and documents the persistence of search/evaluation techniques under severe computing limits.",https://www.computerhistory.org/chess/opening-moves/,"Use as retrospective field context; Shannon's paper controls his claims."
SD-037,13,2026-09-04,1950,Computer History Museum,"Shannon and Lasker at Shannon's chess machine",museum collection record,"Documents Shannon and Edward Lasker with Shannon's early relay-based chess machine at MIT around 1950.",https://www.computerhistory.org/chess/stl-430b9bbe92716/,"Photographic artifact record; do not infer dialogue or exact demonstration details."
SD-038,14,2026-09-04,2007-05-30,MIT News,"Shannon collection shows wit and whimsy",institutional history,"Documents the family-donated collection of Shannon's home-built devices, including mechanical juggling apparatus, and dates his home tinkering from roughly 1950 to the mid-1980s.",https://news.mit.edu/2007/shannon-0530,"Strong artifact-level evidence; avoid treating every toy as a direct extension of information theory."
SD-039,14,2026-09-04,2001-02-27,MIT News,"Professor Emeritus Claude Shannon, founder of digital communications, dies at 84",institutional obituary,"Confirms Betty Moore's Bell Labs numerical-analyst role, their 1949 marriage, the family's move to Mystic Lake in Winchester after Shannon became a visiting MIT professor, and Shannon's juggling/unicycling and gadget building.",https://news.mit.edu/2001/shannon,"Institutional obituary; do not overstate Betty Shannon's technical role beyond available documentation."
SD-040,14,2026-09-04,2003,Erico Guizzo / MIT,"The Essential Message: Claude Shannon and the Making of Information Theory",MIT thesis,"Provides scholarly biographical evidence for Shannon's reluctance to write and publish, unfinished-paper files, and preference for solving new problems over documenting every result.",https://dspace.mit.edu/bitstream/handle/1721.1/39429/54526133-MIT.pdf,"Secondary scholarly source drawing on interviews and archives; paraphrase rather than importing quoted interview language."
SD-041,15,2026-09-04,1998,Edward O. Thorp,"The Invention of the First Wearable Computer",primary retrospective technical paper,"Thorp's own detailed account of the 1960-61 collaboration with Shannon, the roulette model, June 1961 basement test, body-worn analog computer, concealed input/output scheme, Las Vegas trial, expected 44 percent octant advantage, and hardware failure that prevented sustained betting.",https://escholarship.org/uc/item/8342j4k0,"Primary retrospective source from the co-inventor; use for mechanism and chronology while distinguishing later terminology such as wearable computer from language used in 1961."
SD-042,15,2026-09-04,,MIT Arts,"Ed Thorp",institutional profile,"MIT account of Thorp meeting Shannon, building the roulette computer largely in Shannon's basement laboratory, testing it in 1961, and using concealed toe input and earpiece output.",https://arts.mit.edu/opportunities/giving-to-the-arts-at-mit/ed-thorp/,"Institutional corroboration; Thorp's technical paper controls exact device claims."
SD-043,15,2026-09-04,,UC Irvine Libraries,"A Spin of the Wheel",archival exhibit,"Exhibit from the Edward O. Thorp Papers documents the 1960 meeting, 1961 roulette collaboration, surviving correspondence/artifacts, and the device's place in wearable-computing history.",https://exhibits.lib.uci.edu/thorp/spin,"Useful archival context; avoid quoting memoir language beyond fair-use limits."
SD-044,16,2026-09-04,1956-07,J. L. Kelly Jr.,"A New Interpretation of Information Rate",primary paper,"Primary Bell System Technical Journal paper connecting Shannon information rate to the maximum exponential growth rate of a gambler's capital under specified conditions; foundational for distinguishing Kelly growth optimization from the later rebalancing example called Shannon's Demon.",https://onlinelibrary.wiley.com/doi/abs/10.1002/j.1538-7305.1956.tb03809.x,"Use to explain growth-optimal betting and repeated multiplicative decisions; do not collapse Kelly criterion and rebalancing into one strategy."
SD-045,16,2026-09-04,1956-07,Nokia Bell Labs,"A New Interpretation of Information Rate",Bell Labs archive,"Institutional archive preserves Kelly's paper and its explicit reliance on Shannon's communication-rate theorem.",https://www.nokia.com/bell-labs/publications-and-media/publications/a-new-interpretation-of-information-rate/,"Institutional provenance; Kelly paper controls technical interpretation."
SD-046,16,2026-09-04,,,"Research boundary: Shannon's Demon provenance",research hold,"The rebalancing thought experiment is associated with Shannon's lectures and later financial writing about him, but this pass did not locate a canonical Shannon-authored paper fixing the name 'Shannon's Demon' or one definitive published formulation.",,"Treat the label as later usage; present the 50/50 rebalancing arithmetic as an illustrative model and keep transaction costs, taxes, correlation shifts, asset impairment, and model instability visible as counterevidence to any free-lunch interpretation."
SD-047,17,2026-09-04,2003,Erico Guizzo / MIT,"The Essential Message: Claude Shannon and the Making of Information Theory",MIT thesis,"Primary secondary anchor for Shannon's later work habits, unfinished papers, reluctance to publish, and preference for moving to new problems once the intellectual core of a question felt settled.",https://cmsw.mit.edu/claude-shannon-making-information-theory/,"Based on papers, letters, interviews, and archival research; use for documented habits without converting them into an invented anti-productivity creed."
SD-048,17,2026-09-04,2001-02-27,MIT News,"Professor Emeritus Claude Shannon, founder of digital communications, dies at 84",institutional obituary,"Confirms Shannon's MIT faculty chronology, continued gadget-building, and later institutional role through professor emeritus status.",https://news.mit.edu/2001/shannon,"Use for chronology and documented activities; avoid psychologizing motives not in the record."
SD-049,17,2026-09-04,2016-04-28,IEEE Spectrum,"Claude Shannon: Tinkerer, Prankster, and Father of Information Theory",professional-history article,"Documents Shannon's broad later interests and the field's tendency to extend information-theory language into domains far beyond communications, including contemporary concern over overextension.",https://spectrum.ieee.org/claude-shannon-tinkerer-prankster-and-father-of-information-theory,"Retrospective field history; preserve distinction between Shannon's own claims and later enthusiasm around the theory."
SD-050,18,2026-09-04,1948,Claude E. Shannon,"A Mathematical Theory of Communication",primary paper,"Controlling primary evidence for source coding, channel capacity, noise, redundancy, and the separation of semantic meaning from the engineering communication problem that underlies the chapter's technology lineage.",https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf,"Do not credit Shannon with later specific codecs, protocols, devices, or network architectures that other researchers and engineers built."
SD-051,18,2026-09-04,,Nokia Bell Labs,"Coding and Compression: A Happy Union of Theory and Practice",institutional technical history,"Explains how Shannon's probabilistic framework supplied fundamental limits for coding and compression and how subsequent engineering approached those limits in real products.",https://www.nokia.com/bell-labs/publications-and-media/publications/coding-and-compression-a-happy-union-of-theory-and-practice/,"Useful bridge from theorem to implementation; retain credit for later coding and compression researchers rather than turning the lineage into a single-inventor story."
SD-052,18,2026-09-04,,IEEE Technology Navigator,"Channel Coding",professional technical reference,"Summarizes channel coding as structured redundancy for error detection/correction and explicitly traces the field to Shannon's 1948 existence theorem while noting that later decades focused on practical codes approaching the bound.",https://technav.ieee.org/area/channel-coding/,"Use for modern technical framing; Shannon's 1948 paper controls historical claims."
SD-053,19,2026-09-04,2001-02-27,MIT News,"Professor Emeritus Claude Shannon, founder of digital communications, dies at 84",institutional obituary,"Controlling institutional source for Shannon's death on February 24, 2001 at age 84 after a long battle with Alzheimer's disease, plus late-career chronology and surviving family.",https://news.mit.edu/2001/shannon,"Do not invent intimate scenes from the illness; diagnosis and chronology are supported, private experience is not."
SD-054,19,2026-09-04,1956-03,Claude E. Shannon,"The Bandwagon",primary editorial,"Primary evidence that Shannon warned against overextending information-theory language into other disciplines without rigorous mathematical justification.",https://reimbar.org/papers/bandwagon/,"Use the editorial's argument rather than long quotation; it is especially important for resisting a simplistic entropy-equals-Alzheimer's metaphor."
SD-055,19,2026-09-04,2016-04-28,IEEE Spectrum,"Claude Shannon: Tinkerer, Prankster, and Father of Information Theory",professional-history article,"Retrospective profile based on John Horgan's interview with Shannon; corroborates later tinkering and records that Shannon died after Alzheimer's disease.",https://spectrum.ieee.org/claude-shannon-tinkerer-prankster-and-father-of-information-theory,"Secondary biographical source; do not treat later metaphorical descriptions of memory loss as Shannon information theory."
SD-056,20,2026-09-04,2007-05-30,MIT News,"Shannon collection shows wit and whimsy",institutional history,"Documents Shannon's surviving home-built machines and mechanical juggling apparatus, supporting the closing chapter's focus on play and physical problem-solving.",https://news.mit.edu/2007/shannon-0530,"Artifact evidence supports the activities, not a claim that Shannon intended juggling as a philosophy of life."
SD-057,20,2026-09-04,1948,Claude E. Shannon,"A Mathematical Theory of Communication",primary paper,"Primary basis for the conclusion's claims about channel limits, noise, representation, redundancy, and Shannon's deliberate exclusion of semantic meaning from the engineering problem.",https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf,"Keep technical claims within the paper's scope and distinguish modern analogies about attention or organizations from Shannon's theorem."
SD-058,20,2026-09-04,1956-03,Claude E. Shannon,"The Bandwagon",primary editorial,"Supports the final chapter's argument for scope discipline: successful information-theory vocabulary should not be treated as universal explanatory authority.",https://reimbar.org/papers/bandwagon/,"Controlling counterweight to heroic claims that Shannon's mathematics directly explains every modern informational phenomenon."
