source_id,chapters,access_date,publication_date,author_or_institution,title,source_type,claim_or_role,url,caveat
mi-012,"2;10;11;12;24",2026-09-03,2019-07-31,U.S. Army,ADP 6-0 Mission Command,military doctrine,"Defines mission command around decentralized execution shared understanding commander's intent disciplined initiative trust and risk acceptance.",https://tjaglcs.army.mil/LinkClick.aspx?fileticket=-Yv035hB3rw%3D&portalid=0,"2019 doctrine; later publications may refine terminology while preserving core principles."
mi-013,"2;4;11;12",2026-09-03,2025-08,U.S. Army,Doctrine Smart Book August 2025,military doctrine summary,"Confirms continued Army emphasis on command and control authority responsibility feedback communication decentralized execution and mission command principles.",https://rdl.train.army.mil/catalog-ws/view/100.ATSC/F5D823F5-B5AF-4F55-B50D-E03563E31637-1726168740296/DSBx2025_AUG25_Final.pdf,"Summary document rather than full doctrinal treatment."
mi-014,"4;5;6;7;8;9",2026-09-03,,Joint Chiefs of Staff,Joint Publications 2-0 Intelligence Series,official doctrine index,"Provides the doctrinal foundation for joint intelligence products services assessments and support to operations.",https://www.jcs.mil/Doctrine/Joint-Doctrine-Pubs/2-0-Intelligence-Series/,"Public index offers limited detail without controlled-access doctrine materials."
mi-015,"7;8;18;22",2026-09-03,2014-05-05,U.S. Army,FM 6-0 Commander and Staff Organization and Operations Chapter 11 Military Deception,military doctrine,"Treats deception as deliberate manipulation of adversary decision-making and distinguishes ambiguity-increasing and ambiguity-decreasing effects.",https://www.moore.army.mil/infantry/DoctrineSupplement/ATP3-21.8/PDFs/fm6_0.pdf,"Historical version of doctrine; operational details are not reproduced in the manuscript."
mi-016,"7;8;18",2026-09-03,2019-04-01,U.S. Army,Combined Arms Center releases new Army-specific military deception doctrine,official doctrine announcement,"Shows military deception framed as altering adversary decision-making and battlefield calculus within explicit authorities.",https://www.army.mil/article/218036/combined_arms_center_releases_new_army_specific_military_deception_doctrine,"Announcement rather than full doctrine; manuscript stays at conceptual level."
mi-017,"7;8;18",2026-09-03,2026,U.S. Army,A Layered Approach to Active Protection,professional military analysis,"Recent public argument that deception attacks adversary hypotheses and can create uncertainty before action.",https://www.lineofdeparture.army.mil/Journals/Protection/Protection-Archive/2026-Edition/A-Layered-Approach-to-Active-Protection/,"Professional military analysis rather than official doctrine; no tactical prescriptions are carried into the book."
mi-018,"7;8;18",2026-09-03,2012-06,CIA Center for the Study of Intelligence,Intelligence Officer's Bookshelf: Operation Fortitude review,historical intelligence review,"Supports Fortitude as a historical case of coordinated deception exploiting an adversary's intelligence process and prior beliefs.",https://www.cia.gov/resources/csi/static/Intel-Officers-Bookshelf-56.2.pdf,"Book review and retrospective history; details are used cautiously and corroborated conceptually rather than treated as a complete operational record."
mi-019,"9;11;13;17;22;24",2026-09-03,2025,RAND Corporation,Human-Machine Integration in the U.S. Army,research report,"Finds military human-machine integration constrained by trust operational security policy and the need for education testing iteration and sociotechnical adaptation.",https://www.rand.org/content/dam/rand/pubs/research_reports/RRA2700/RRA2764-1/RAND_RRA2764-1.pdf,"RAND analysis based on assumptions and interviews; does not predict a single future force design."
mi-020,"9;11;13;17;22;24",2026-09-03,2024-01-03,RAND Corporation,Understanding the Limits of Artificial Intelligence for Warfighters: Volume 1 Summary,research report,"Provides a counterweight to acceleration narratives by examining where AI methods can fail or add little value across warfighting applications.",https://www.rand.org/topics/military-command-and-control.html?start=12,"Topic page links the report family; use the underlying RAND reports for detailed claims."
mi-021,"12;13;15;24;25",2026-09-03,2025-07-17,Center for Strategic and International Studies,Agentic Warfare and the Future of Military Operations: Rethinking the Napoleonic Staff,policy analysis,"Explores how agentic AI could reshape military staff structures and compress planning and assessment cycles.",https://www.csis.org/analysis/rethinking-napoleonic-staff,"Forward-looking policy analysis; claims about future staff compression are scenarios rather than measured outcomes."
mi-022,"1;4;10;12;13;25",2026-09-03,2026-01-09,National Defense University Press,Cognitive Warfare and Organizational Design: Leveraging AI to Reshape Military Decisionmaking,professional military analysis,"Current professional argument that AI integration changes organizational design and decision processes rather than merely adding tools to legacy staffs.",https://ndupress.ndu.edu/Media/News/News-Article-View/Article/4368980/cognitive-warfare-and-organizational-design-leveraging-ai-to-reshape-military-d/,"Professional analysis and advocacy; not official doctrine or controlled experiment."
mi-023,"8;9;18;22",2026-09-03,2025-07-15,National Defense University Press,Finding Deepfakes: A Tabletop Exercise About AI Decisionmaking and Algorithmic Performance,exercise report,"Shows how algorithmic limitations can degrade trust introduce uncertainty and complicate decisions in an information-manipulation scenario.",https://ndupress.ndu.edu/Media/News/News-Article-View/Article/4244449/finding-deepfakes-a-tabletop-exercise-about-ai-decisionmaking-and-algorithmic-p/,"Tabletop exercise with bounded scenario; not evidence of field performance."
mi-024,"1;3;4;10;15;22",2026-09-03,2025-04-08,U.S. Government Accountability Office,Defense Command and Control: Further Progress Hinges on Establishing a Comprehensive Framework,government audit,"Finds fragmented CJADC2 efforts and cross-organizational problems despite the objective of faster real-time information sharing and analysis.",https://www.gao.gov/products/gao-25-106454,"Audit captures a 2025 snapshot and public evidence; classified progress may differ."
mi-025,"9;15;17;22;24",2026-09-03,2025-12-11,U.S. Government Accountability Office,Weapon Systems Testing: DOD Needs to Update Policies to Better Support Modernization Efforts,government audit,"Finds gaps in iterative testing policy and highlights digital engineering user feedback and early testing as relevant to complex software-driven systems.",https://www.gao.gov/products/gao-26-107009,"Broad weapon-system testing report not AI-specific; used for institutional testing capacity and iteration."
mi-026,"9;15;17;22;24",2026-09-03,2026-06-30,U.S. Government Accountability Office,Weapon Systems Testing: Reorganization of DOD's Office of the Director Operational Test and Evaluation,government audit,"Documents reduced public-sector test oversight capacity and risks of undocumented operational shortfalls when expertise and staffing decline.",https://www.gao.gov/products/gao-26-108859,"Focuses organizational capacity not AI in particular; current as of June 2026."
mi-027,"9;11;17;21;22;24",2026-09-03,2024-07-26,National Institute of Standards and Technology,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,government technical guidance,"Provides lifecycle risk-management concepts for evaluation documentation monitoring incident handling and trustworthiness.",https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,"Voluntary cross-sector framework not military doctrine."
mi-028,"13;15;22;24",2026-09-03,2025,CNA,Strategic Military Artificial Intelligence,policy research,"Recommends data policy appropriate testing iterative development education trust calibration and organizational design for military AI adoption.",https://www.cna.org/archive/CNA_Files/pdf/strategic-military-ai.pdf,"Analytical recommendations; publication sponsorship and assumptions should be considered."
mi-029,"19;20;21;23;24",2026-09-03,2024,Center for Strategic and International Studies,Algorithmic Stability: How AI Could Shape the Future of Deterrence,wargame analysis,"Explores how AI-enabled decision layers may create new escalation and stability dynamics and how uncertainty about an adversary's AI changes crisis choices.",https://www.csis.org/analysis/algorithmic-stability-how-ai-could-shape-future-deterrence,"Wargame-derived insights are illustrative rather than predictive and include operational hypotheticals not reproduced here."
mi-030,"19;20;21;23;24",2026-09-03,2026-01-28,Center for Strategic and International Studies,AI and Grand Strategy: The Case for Restraint,policy analysis,"Provides a counterargument to simple AI-arms-race narratives and supports treating strategic choices institutions and restraint as independent variables.",https://www.csis.org/analysis/ai-and-grand-strategy-case-restraint,"Argumentative policy essay; used as counterpoint rather than consensus."
mi-031,"13;15;24;25",2026-09-03,2026-02-10,Center for Strategic and International Studies,How Russia Is Reshaping Command and Control for AI-Enabled Warfare,policy analysis,"Contemporary case study of wartime pressure reshaping C2 software and AI adoption rather than technology arriving into a static organization.",https://www.csis.org/analysis/how-russia-reshaping-command-and-control-ai-enabled-warfare,"Open-source analysis of a live conflict with unavoidable uncertainty and incomplete access."
mi-032,"1;4;8;15;17;22;24",2026-09-03,2026-06-10,Center for Strategic and International Studies,Defining Autonomy: Why Software Not Drones Will Decide the Next War,policy analysis,"Argues that autonomy should be understood at the system and software decision layer rather than only at the physical platform.",https://www.csis.org/analysis/defining-autonomy-why-software-not-drones-will-decide-next-war,"Policy proposal published during active regulatory change; not settled law or doctrine."
mi-033,"1;3;4;5;10;14;15",2026-09-03,2023-11-02,U.S. Department of Defense,Remarks on the State of AI in the Department of Defense,official speech,"States the decision-advantage rationale for AI and describes CJADC2 as a set of concepts technologies policies and talent rather than one platform.",https://www.defense.gov/News/Speeches/Speech/Article/3578046/remarks-by-deputy-secretary-of-defense-kathleen-h-hicks-on-the-state-of-ai-in-t/,"Leadership speech is advocacy and institutional messaging rather than independent measurement."
mi-034,"4;5;10;15",2026-09-03,2023-01-30,U.S. Department of Defense,Chief Digital and Artificial Intelligence Office Hosts Global Information Dominance Experiments,official release,"Documents joint experiments using data analytics and AI to inform all-domain command-and-control approaches.",https://www.defense.gov/News/Releases/Release/Article/3282376/dod-chief-digital-and-artificial-intelligence-office-hosts-global-information-d/,"Program announcement offers limited public performance evidence."
