id,chapters,source_type,author_or_org,title,date,url,claim_supported,caveat
TA011,5,book,Eric von Hippel,The Sources of Innovation,1988,https://web.mit.edu/evhippel/www/books/sources/von_hippel-1988-sources_of_innovation.pdf,"Lead users can experience needs ahead of the market and sometimes develop solutions","User innovation concentrated where user benefit justifies effort"
TA012,5,book,Eric von Hippel,Democratizing Innovation,2005,https://direct.mit.edu/books/book/2821/Democratizing-Innovation,"User-centered and freely revealed innovation across software and physical products","Broad synthesis; domain-specific claims still require domain evidence"
TA013,"4,5",course,MIT OpenCourseWare,"How to Develop Breakthrough Products and Services — lecture notes",2004,https://ocw.mit.edu/courses/15-356-how-to-develop-breakthrough-products-and-services-spring-2004/pages/lecture-notes/,"Lead-user method; users as sources of innovation; trial-and-error and sticky information","Teaching material summarizes research; prefer underlying papers for formal citation"
TA014,8,primary,Apple,"iPhone App Store Downloads Top 10 Million in First Weekend",2008-07-14,https://www.apple.com/newsroom/2008/07/14iPhone-App-Store-Downloads-Top-10-Million-in-First-Weekend/,"More than 800 native apps and more than 10 million downloads in first weekend","Download volume does not establish healthy developer economics"
TA015,12,primary,IBM,"IBM Annual Report 2000",2000,https://www.ibm.com/investor/att/pdf/IBM_Annual_Report_2000.pdf,"IBM described a $1 billion Linux investment and 1,500 programmers to accelerate enterprise adoption","Company strategy source; not independent proof of Linux causal outcomes"
TA016,"12,17",journal,"Wesley M. Cohen and Daniel A. Levinthal","Absorptive Capacity: A New Perspective on Learning and Innovation",1990,,"Organizations build ability to recognize assimilate and apply external knowledge through prior related knowledge","Conceptual and empirical organizational-learning support not a direct test of every technology-adoption claim"
TA017,14,primary,Google,"Bringing more of Google's productivity apps to Glass Enterprise",2022,https://blog.google/products-and-platforms/products/google-ar-vr/bringing-more-of-googles-productivity-apps-to-glass-enterprise/,"Glass Enterprise workplace deployments and hands-free communication/task use cases since 2017","Glass Enterprise hardware was later discontinued; use case persistence is not platform permanence"
TA018,18,primary,Visa,"Agentic Payments: What Onchain Data Reveals Commerce",2026-07-14,https://www.visa.com/en-us/thought-leadership/innovation/agentic-payments-from-the-ground-up,"Visa/Artemis reported agents paying for travel inventory data and compute based on live onchain evidence","Early evidence; does not establish mainstream autonomous commerce"
TA019,18,primary,Mastercard,"Mastercard launches Agent Pay for Machines",2026-06-10,https://www.mastercard.com/us/en/news-and-trends/press/2026/june/mastercard-launches-agent-pay-for-machines.html,"Permissioned programmatic machine payments including high-volume and very small-value transactions","Product announcement and ecosystem support do not measure adoption scale"
TA020,18,primary,Shopify,"The agentic commerce platform: Shopify connects any merchant to every AI conversation",2026-01-11,https://www.shopify.com/news/ai-commerce-at-scale,"Announcement of Universal Commerce Protocol co-developed with Google","Platform announcement; future impact remains uncertain"
TA021,18,primary,Google Developers Blog,"Under the Hood: Universal Commerce Protocol",2026-01-11,https://developers.googleblog.com/under-the-hood-universal-commerce-protocol-ucp/,"UCP described as open-source common language and primitives for agentic commerce with existing infrastructure and multiple transports","Technical design and partner endorsement are not proof of eventual standard dominance"
TA022,18,primary,Shopify,"Agentic commerce for every developer: Spring '26 Edition",2026-06-17,https://www.shopify.com/news/spring-26-edition-dev,"Shopify opened agentic-commerce infrastructure self-service to developers and described broad UCP support","Vendor source; partner/support statements should be date-stamped"
TA023,18,primary,Visa,"Visa Partners with OpenAI to Power the Next Generation of AI Commerce",2026-06-10,https://corporate.visa.com/en/sites/visa-perspectives/newsroom/visa-openai-power-next-generation-commerce.html,"Visa/OpenAI collaboration around secure payments within agentic-commerce environments","Partnership announcement; does not prove transaction volume"
TA024,18,primary,Visa,"Visa Opens the Door to AI-Driven Shopping for Businesses Worldwide",2026-04-08,https://usa.visa.com/about-visa/newsroom/press-releases.releaseId.22276.html,"Intelligent Commerce Connect pilot and on-ramp framing for agent builders merchants and enablers","Pilot status must not be described as ubiquitous deployment"
TA025,18,primary,Mastercard,"The new rules of the road for agentic commerce",2026-01-20,https://www.mastercard.com/us/en/news-and-trends/stories/2026/agentic-commerce-rules-of-the-road.html,"Industry emphasis on standards trust and payment controls for agentic commerce","Thought-leadership framing; use mainly for contemporaneous design priorities"
TA026,18,primary,Visa,"Agentic Commerce: The expanded payments economy",2026-03-17,https://corporate.visa.com/en/sites/visa-perspectives/innovation/agentic-commerce-expanded-payments-economy.html,"Visa argument that agentic systems can reduce friction and increase transaction density","Forward-looking company analysis rather than measured market outcome"
TA027,3,primary,Tesla Investor Relations,"Tesla Motors Receives $40 Million Financing Commitment",2008-11-02,https://ir.tesla.com/press-release/tesla-motors-receives-40-million-financing-commitment,"More than 1,200 Roadster deposits and financing intended partly to accelerate manufacturing and future development","Financing had multiple sources; customer deposits should not be presented as sole capital source"
TA028,11,primary,Tesla Investor Relations,"Tesla Motors Selects BorgWarner for Production of New Gearbox",2008,https://ir.tesla.com/press-release/tesla-motors-selects-borgwarner-production-new-gearbox-tesla,"Early Roadsters used interim transmission and customers could receive free upgrade","Useful example of first customers encountering product evolution; company source"
TA029,"19,20",synthesis,Sven Hardy Benson,"Take Advantage practical adoption synthesis",2026,,"Reversible experiments transferable learning capability-over-vendor and exit criteria","Normative synthesis; intentionally not presented as empirically universal scoring formula"
