chapter,decade,city,source_type,source,title,url,claim_supported,checked
14,1900s,Pittsburgh,public history,National Park Service,Rivers of Steel National Heritage Area,https://www.nps.gov/articles/000/rivers-of-steel-national-heritage-area.htm,"Pittsburgh-region steel industrial landscape",2026-09-06
15,1910s,Detroit,company history,Ford Motor Company,Moving Assembly Line,https://corporate.ford.com/articles/history/moving-assembly-line.html,"1913 Highland Park moving assembly line and production-time change",2026-09-06
16,1920s,New York,archive,Library of Congress,Harlem Renaissance,https://guides.loc.gov/harlem-renaissance,"Concentration of Black cultural production in Harlem",2026-09-06
16,1920s,New York,central bank history,Federal Reserve History,Stock Market Crash of 1929,https://www.federalreservehistory.org/essays/stock-market-crash-of-1929,"New York-centered stock boom and October 1929 crash",2026-09-06
17,1930s,Washington,government history,FDIC,1930–1939,https://www.fdic.gov/history/1930-1939,"Bank holiday Emergency Banking Act Banking Act and FDIC creation",2026-09-06
17,1930s,Washington,government history,Social Security Administration,Historical Development,https://www.ssa.gov/policy/docs/progdesc/sspus/histdev.html,"1935 Social Security Act and expansion of federal economic security",2026-09-06
18,1940s,Detroit,public history,Detroit Historical Society,Arsenal of Democracy,https://www.detroithistorical.org/learn/encyclopedia-of-detroit/arsenal-democracy,"Detroit wartime conversion and military production",2026-09-06
18,1940s,Detroit,public history,Detroit Historical Society,Race Riot of 1943,https://www.detroithistorical.org/learn/online-research/encyclopedia-of-detroit/race-riot-1943,"Wartime migration housing segregation and racial violence",2026-09-06
19,1950s,Los Angeles,government history,Federal Highway Administration,Interstate Highway System History,https://www.fhwa.dot.gov/interstate/history.cfm,"Federal highway buildout and postwar road system",2026-09-06
19,1950s,Los Angeles,archive,National Archives,Servicemen's Readjustment Act,https://www.archives.gov/milestone-documents/servicemens-readjustment-act,"GI Bill education and mortgage benefits with unequal implementation",2026-09-06
19,1950s,Los Angeles,municipal planning,Los Angeles City Planning,Housing Element,https://planning.lacity.gov/resources/housing-element,"Housing segregation land use and postwar metropolitan context",2026-09-06
20,1960s,Birmingham,public history,National Park Service,Birmingham Civil Rights National Monument,https://www.nps.gov/bicr/learn/historyculture/index.htm,"Project C movement infrastructure police response and church bombing",2026-09-06
20,1960s,Birmingham,public history,National Park Service,Presidential Proclamation — Birmingham Civil Rights National Monument,https://www.nps.gov/bicr/learn/management/presidential-proclamation.htm,"1963 campaign and momentum toward Civil Rights Act",2026-09-06
20,1960s,Birmingham,archive,National Archives,Civil Rights Act of 1964,https://www.archives.gov/milestone-documents/civil-rights-act,"Federal statutory outcome and provisions",2026-09-06
21,1970s,Houston,government data,U.S. Energy Information Administration,Annual Energy Review / Total Energy,https://www.eia.gov/totalenergy/data/annual/,"1970s oil price production import and consumption context",2026-09-06
21,1970s,Houston,government history,NASA,Johnson Space Center,https://www.nasa.gov/johnson/,"Federal science engineering layer in Houston economy",2026-09-06
22,1980s,New York,public health,Centers for Disease Control and Prevention,AIDS surveillance — 1980s,https://www.cdc.gov/mmwr/preview/mmwrhtml/00001477.htm,"New York AIDS incidence and epidemic burden",2026-09-06
22,1980s,New York,movement archive,ACT UP New York,ACT UP New York archive,https://actupny.com/,"1987 movement formation and direct-action history",2026-09-06
23,1990s,Seattle,municipal archive,Seattle Municipal Archives,WTO 1999,https://www.seattle.gov/cityarchives/exhibits-and-education/online-exhibits/wto,"1999 protests emergency restrictions arrests and policing controversy",2026-09-06
23,1990s,Seattle,international institution,World Trade Organization,Third WTO Ministerial Conference,https://www.wto.org/english/thewto_e/minist_e/min99_e/min99_e.htm,"Seattle ministerial dates and official conference record",2026-09-06
24,2000s,New York,central bank history,Federal Reserve History,Federal Reserve Response to 9/11,https://www.federalreservehistory.org/essays/federal-reserve-response-to-911,"Payment liquidity and market disruption after September 11",2026-09-06
24,2000s,New York,commission report,9/11 Commission,Final Report,https://www.9-11commission.gov/report/,"Attack chronology institutional findings and recommendations",2026-09-06
24,2000s,New York,central bank history,Federal Reserve History,Lehman Brothers Bankruptcy,https://www.federalreservehistory.org/essays/lehman-brothers-bankruptcy,"September 2008 systemic financial crisis",2026-09-06
24,2000s,New York,commission report,Financial Crisis Inquiry Commission,Final Report,https://www.govinfo.gov/content/pkg/GPO-FCIC/pdf/GPO-FCIC.pdf,"Mortgage securitization leverage regulation ratings and crisis transmission",2026-09-06
25,2010s,San Francisco,regulator,California Public Utilities Commission,TNC rulemaking announcement,https://docs.cpuc.ca.gov/PublishedDocs/Published/G000/M039/K594/39594708.PDF,"2012 formal regulation of app-enabled ride services including Uber Lyft Sidecar",2026-09-06
25,2010s,San Francisco,municipal planning,San Francisco Planning Department,Short-Term Rentals staff report,https://commissions.sfplanning.org/cpcpackets/2014.0707T.pdf,"Rapid platform listing growth and land-use enforcement conflict",2026-09-06
25,2010s,San Francisco,municipal planning,San Francisco Planning Department,Housing Needs and Trends Report,https://sfplanning.org/resource/san-francisco-housing-needs-and-trends-report,"High-wage job growth housing supply affordability and displacement pressures",2026-09-06
25,2010s,San Francisco,municipal planning,San Francisco Planning Department,Community Stabilization,https://sfplanning.org/community-stabilization-strategy,"Income inequality economic growth limited housing supply and displacement",2026-09-06
26,2020s,Phoenix,government industrial policy,NIST / CHIPS for America,TSMC Arizona Expands U.S. Investment to $265 Billion,https://www.nist.gov/chips/tsmc-arizona-expands-us-investment-265-billion,"July 2026 TSMC announced total planned Arizona investment of $265B",2026-09-06
26,2020s,Phoenix,company project record,TSMC,TSMC Arizona,https://www.tsmc.com/static/english/arizona/index.htm,"Phoenix selection fab production and project chronology",2026-09-06
26,2020s,Phoenix,water agency,Arizona Department of Water Resources,Phoenix AMA Groundwater Model,https://www.azwater.gov/phoenix-ama-groundwater-model,"100-year groundwater model and assured water supply constraints",2026-09-06
26,2020s,Phoenix,municipal government,City of Phoenix,Heat Response Plan,https://www.phoenix.gov/administration/departments/heat/heat-response-programs/heat-response-plan.html,"Dedicated annual heat response and mitigation governance",2026-09-06
26,2020s,Phoenix,government industrial policy,U.S. Department of Commerce,CHIPS Incentives Award to TSMC Arizona,https://www.commerce.gov/news/press-releases/2024/11/biden-harris-administration-announces-chips-incentives-award-tsmc,"Earlier $65B three-fab project phase and federal industrial-policy rationale",2026-09-06
